,secs,meas
0,0.0,-0.0
1,0.015625,-0.0
2,0.03125,-0.0
3,0.046875,-0.0
4,0.0625,-0.0
5,0.078125,-0.0
6,0.09375,-0.0
7,0.109375,-0.0
8,0.125,-0.0
9,0.140625,-0.0
10,0.15625,0.0
11,0.171875,0.01
12,0.1875,0.01
13,0.203125,-0.0
14,0.21875,-0.03
15,0.234375,-0.05
16,0.25,-0.05
17,0.265625,0.0
18,0.28125,0.13
19,0.296875,0.36
20,0.3125,0.66
21,0.328125,1.01
22,0.34375,1.37
23,0.359375,1.72
24,0.375,2.06
25,0.390625,2.4
26,0.40625,2.79
27,0.421875,3.24
28,0.4375,3.8
29,0.453125,4.42
30,0.46875,5.06
31,0.484375,5.67
32,0.5,6.2
33,0.515625,6.67
34,0.53125,7.14
35,0.546875,7.67
36,0.5625,8.32
37,0.578125,9.18
38,0.59375,10.15
39,0.609375,11.09
40,0.625,11.86
41,0.640625,12.41
42,0.65625,12.78
43,0.671875,13.18
44,0.6875,13.85
45,0.703125,14.98
46,0.71875,16.81
47,0.734375,19.14
48,0.75,21.66
49,0.765625,24.05
50,0.78125,26.11
51,0.796875,27.91
52,0.8125,29.81
53,0.828125,32.27
54,0.84375,35.66
55,0.859375,40.36
56,0.875,45.98
57,0.890625,51.92
58,0.90625,57.52
59,0.921875,62.36
60,0.9375,66.54
61,0.953125,70.6
62,0.96875,75.37
63,0.984375,81.46
64,1.0,89.43
65,1.015625,98.66
66,1.03125,108.17
67,1.046875,116.87
68,1.0625,124.05
69,1.078125,129.79
70,1.09375,134.92
71,1.109375,141.06
72,1.125,147.18
73,1.140625,155.6
74,1.15625,166.73
75,1.171875,180.26
76,1.1875,194.55
77,1.203125,206.44
78,1.21875,211.64
79,1.234375,205.9
80,1.25,186.45
81,1.265625,152.89
82,1.28125,107.78
83,1.296875,54.66
84,1.3125,-2.8
85,1.328125,-62.08
86,1.34375,-122.08
87,1.359375,-182.49
88,1.375,-242.85
89,1.390625,-302.05
90,1.40625,-358.49
91,1.421875,-410.4
92,1.4375,-457.05
93,1.453125,-498.35
94,1.46875,-534.51
95,1.484375,-565.49
96,1.5,-590.64
97,1.515625,-608.55
98,1.53125,-616.99
99,1.546875,-613.09
100,1.5625,-593.57
101,1.578125,-555.89
102,1.59375,-499.09
103,1.609375,-424.8
104,1.625,-337.48
105,1.640625,-243.65
106,1.65625,-150.27
107,1.671875,-63.03
108,1.6875,14.57
109,1.703125,81.38
110,1.71875,137.41
111,1.734375,183.11
112,1.75,218.75
113,1.765625,244.55
114,1.78125,261.18
115,1.796875,270.04
116,1.8125,273.1
117,1.828125,272.34
118,1.84375,269.23
119,1.859375,264.32
120,1.875,257.46
121,1.890625,248.17
122,1.90625,236.22
123,1.921875,221.93
124,1.9375,206.16
125,1.953125,190.11
126,1.96875,174.86
127,1.984375,161.1
128,2.0,148.87
129,2.015625,137.69
130,2.03125,126.87
131,2.046875,115.84
132,2.0625,104.45
133,2.078125,93.02
134,2.09375,82.14
135,2.109375,72.35
136,2.125,63.89
137,2.140625,56.6
138,2.15625,50.06
139,2.171875,43.81
140,2.1875,37.59
141,2.203125,31.46
142,2.21875,25.66
143,2.234375,20.47
144,2.25,16.04
145,2.265625,12.4
146,2.28125,9.31
147,2.296875,6.55
148,2.3125,3.99
149,2.328125,1.66
150,2.34375,-0.35
151,2.359375,-2.0
152,2.375,-3.36
153,2.390625,-4.54
154,2.40625,-5.6
155,2.421875,-6.54
156,2.4375,-7.27
157,2.453125,-7.66
158,2.46875,-7.64
159,2.484375,-7.3
160,2.5,-6.82
161,2.515625,-6.38
162,2.53125,-6.16
163,2.546875,-6.19
164,2.5625,-6.43
165,2.578125,-6.73
166,2.59375,-6.94
167,2.609375,-7.0
168,2.625,-6.89
169,2.640625,-6.7
170,2.65625,-6.57
171,2.671875,-6.55
172,2.6875,-6.67
173,2.703125,-6.86
174,2.71875,-7.05
175,2.734375,-7.13
176,2.75,-7.05
177,2.765625,-6.74
178,2.78125,-6.21
179,2.796875,-5.48
180,2.8125,-4.69
181,2.828125,-4.01
182,2.84375,-3.59
183,2.859375,-3.45
184,2.875,-3.56
185,2.890625,-3.77
186,2.90625,-3.99
187,2.921875,-4.12
188,2.9375,-4.16
189,2.953125,-4.1
190,2.96875,-3.92
191,2.984375,-3.61
192,3.0,-3.19
193,3.015625,-2.75
194,3.03125,-2.43
195,3.046875,-2.3
196,3.0625,-2.38
197,3.078125,-2.55
198,3.09375,-2.66
199,3.109375,-2.62
200,3.125,-2.43
201,3.140625,-2.12
202,3.15625,-1.77
203,3.171875,-1.4
204,3.1875,-1.03
205,3.203125,-0.65
206,3.21875,-0.31
207,3.234375,-0.06
208,3.25,0.05
209,3.265625,0.05
210,3.28125,0.03
211,3.296875,0.12
212,3.3125,0.38
213,3.328125,0.76
214,3.34375,1.13
215,3.359375,1.34
216,3.375,1.3
217,3.390625,1.04
218,3.40625,0.69
219,3.421875,0.36
220,3.4375,0.12
221,3.453125,-0.05
222,3.46875,-0.2
223,3.484375,-0.37
224,3.5,-0.54
225,3.515625,-0.64
226,3.53125,-0.65
227,3.546875,-0.58
228,3.5625,-0.45
229,3.578125,-0.31
230,3.59375,-0.14
231,3.609375,0.08
232,3.625,0.32
233,3.640625,0.56
234,3.65625,0.7
235,3.671875,0.66
236,3.6875,0.39
237,3.703125,-0.05
238,3.71875,-0.65
239,3.734375,-1.33
240,3.75,-2.05
241,3.765625,-2.73
242,3.78125,-3.28
243,3.796875,-3.51
244,3.8125,-3.31
245,3.828125,-2.65
246,3.84375,-1.64
247,3.859375,-0.5
248,3.875,0.51
249,3.890625,1.3
250,3.90625,1.86
251,3.921875,2.33
252,3.9375,2.89
253,3.953125,3.62
254,3.96875,4.4
255,3.984375,5.05
256,4.0,5.35
257,4.015625,5.24
258,4.03125,4.86
259,4.046875,4.3
260,4.0625,3.7
261,4.078125,3.11
262,4.09375,2.5
263,4.109375,1.85
264,4.125,1.14
265,4.140625,0.42
266,4.15625,-0.23
267,4.171875,-0.73
268,4.1875,-1.06
269,4.203125,-1.26
270,4.21875,-1.39
271,4.234375,-1.57
272,4.25,-1.9
273,4.265625,-2.39
274,4.28125,-2.98
275,4.296875,-3.54
276,4.3125,-3.89
277,4.328125,-3.93
278,4.34375,-3.65
279,4.359375,-3.15
280,4.375,-2.63
281,4.390625,-2.24
282,4.40625,-2.03
283,4.421875,-1.92
284,4.4375,-1.75
285,4.453125,-1.38
286,4.46875,-0.73
287,4.484375,0.12
288,4.5,0.99
289,4.515625,1.69
290,4.53125,2.15
291,4.546875,2.39
292,4.5625,2.53
293,4.578125,2.7
294,4.59375,2.96
295,4.609375,3.36
296,4.625,3.86
297,4.640625,4.42
298,4.65625,4.98
299,4.671875,5.56
300,4.6875,6.18
301,4.703125,6.8
302,4.71875,7.34
303,4.734375,7.7
304,4.75,7.9
305,4.765625,8.07
306,4.78125,8.31
307,4.796875,8.73
308,4.8125,9.46
309,4.828125,10.46
310,4.84375,11.67
311,4.859375,12.94
312,4.875,14.21
313,4.890625,15.68
314,4.90625,17.7
315,4.921875,20.47
316,4.9375,23.79
317,4.953125,26.95
318,4.96875,28.56
319,4.984375,26.75
320,5.0,19.59
321,5.015625,5.56
322,5.03125,-14.99
323,5.046875,-39.73
324,5.0625,-65.35
325,5.078125,-88.7
326,5.09375,-107.16
327,5.109375,-118.36
328,5.125,-120.19
329,5.140625,-111.33
330,5.15625,-92.22
331,5.171875,-65.53
332,5.1875,-35.78
333,5.203125,-8.03
334,5.21875,13.86
335,5.234375,28.34
336,5.25,36.06
337,5.265625,38.85
338,5.28125,38.51
339,5.296875,36.27
340,5.3125,32.99
341,5.328125,29.31
342,5.34375,26.09
343,5.359375,24.12
344,5.375,23.74
345,5.390625,24.55
346,5.40625,25.61
347,5.421875,25.93
348,5.4375,24.99
349,5.453125,22.96
350,5.46875,20.44
351,5.484375,18.1
352,5.5,16.38
353,5.515625,15.33
354,5.53125,14.8
355,5.546875,14.33
356,5.5625,13.53
357,5.578125,12.09
358,5.59375,9.87
359,5.609375,6.86
360,5.625,3.31
361,5.640625,-0.36
362,5.65625,-3.71
363,5.671875,-6.31
364,5.6875,-7.88
365,5.703125,-8.26
366,5.71875,-7.5
367,5.734375,-5.8
368,5.75,-3.53
369,5.765625,-1.1
370,5.78125,1.15
371,5.796875,2.89
372,5.8125,3.93
373,5.828125,4.31
374,5.84375,4.33
375,5.859375,4.37
376,5.875,4.82
377,5.890625,5.97
378,5.90625,7.99
379,5.921875,10.89
380,5.9375,14.23
381,5.953125,17.2
382,5.96875,18.79
383,5.984375,18.18
384,6.0,14.91
385,6.015625,9.03
386,6.03125,0.92
387,6.046875,-8.56
388,6.0625,-17.43
389,6.078125,-23.67
390,6.09375,-26.3
391,6.109375,-25.82
392,6.125,-23.65
393,6.140625,-21.19
394,6.15625,-19.23
395,6.171875,-17.85
396,6.1875,-16.46
397,6.203125,-14.23
398,6.21875,-10.7
399,6.234375,-5.95
400,6.25,-0.51
401,6.265625,4.91
402,6.28125,9.41
403,6.296875,13.0
404,6.3125,15.72
405,6.328125,17.7
406,6.34375,19.2
407,6.359375,20.35
408,6.375,21.25
409,6.390625,22.1
410,6.40625,23.11
411,6.421875,24.46
412,6.4375,26.22
413,6.453125,28.19
414,6.46875,30.05
415,6.484375,31.44
416,6.5,31.91
417,6.515625,30.77
418,6.53125,27.56
419,6.546875,22.06
420,6.5625,14.45
421,6.578125,5.43
422,6.59375,-3.91
423,6.609375,-12.21
424,6.625,-18.28
425,6.640625,-21.52
426,6.65625,-22.07
427,6.671875,-20.64
428,6.6875,-18.11
429,6.703125,-15.18
430,6.71875,-12.19
431,6.734375,-9.29
432,6.75,-6.57
433,6.765625,-4.32
434,6.78125,-2.99
435,6.796875,-3.07
436,6.8125,-4.73
437,6.828125,-7.76
438,6.84375,-11.58
439,6.859375,-15.44
440,6.875,-18.74
441,6.890625,-21.21
442,6.90625,-22.88
443,6.921875,-23.96
444,6.9375,-24.65
445,6.953125,-24.98
446,6.96875,-24.85
447,6.984375,-24.21
448,7.0,-23.06
449,7.015625,-21.57
450,7.03125,-19.92
451,7.046875,-18.21
452,7.0625,-16.36
453,7.078125,-14.2
454,7.09375,-11.67
455,7.109375,-8.89
456,7.125,-6.25
457,7.140625,-4.19
458,7.15625,-3.09
459,7.171875,-3.06
460,7.1875,-3.9
461,7.203125,-5.22
462,7.21875,-6.57
463,7.234375,-7.64
464,7.25,-8.3
465,7.265625,-8.63
466,7.28125,-8.82
467,7.296875,-9.04
468,7.3125,-9.41
469,7.328125,-9.93
470,7.34375,-10.53
471,7.359375,-11.14
472,7.375,-11.65
473,7.390625,-11.95
474,7.40625,-11.93
475,7.421875,-11.5
476,7.4375,-10.64
477,7.453125,-9.41
478,7.46875,-7.96
479,7.484375,-6.43
480,7.5,-4.84
481,7.515625,-3.16
482,7.53125,-1.28
483,7.546875,0.8
484,7.5625,2.93
485,7.578125,4.8
486,7.59375,6.08
487,7.609375,6.59
488,7.625,6.42
489,7.640625,5.89
490,7.65625,5.45
491,7.671875,5.44
492,7.6875,6.01
493,7.703125,7.07
494,7.71875,8.42
495,7.734375,9.84
496,7.75,11.16
497,7.765625,12.26
498,7.78125,13.01
499,7.796875,13.22
500,7.8125,12.69
501,7.828125,11.29
502,7.84375,9.08
503,7.859375,6.33
504,7.875,3.4
505,7.890625,0.64
506,7.90625,-1.69
507,7.921875,-3.5
508,7.9375,-4.76
509,7.953125,-5.49
510,7.96875,-5.79
511,7.984375,-5.85
512,8.0,-5.95
513,8.015625,-6.42
514,8.03125,-7.44
515,8.046875,-9.0
516,8.0625,-10.93
517,8.078125,-13.01
518,8.09375,-15.18
519,8.109375,-17.5
520,8.125,-19.94
521,8.140625,-22.21
522,8.15625,-23.63
523,8.171875,-23.41
524,8.1875,-21.06
525,8.203125,-16.73
526,8.21875,-11.16
527,8.234375,-5.21
528,8.25,0.52
529,8.265625,5.93
530,8.28125,11.14
531,8.296875,16.11
532,8.3125,20.32
533,8.328125,22.99
534,8.34375,23.42
535,8.359375,21.54
536,8.375,18.0
537,8.390625,13.9
538,8.40625,10.26
539,8.421875,7.65
540,8.4375,6.1
541,8.453125,5.32
542,8.46875,5.01
543,8.484375,4.97
544,8.5,5.13
545,8.515625,5.39
546,8.53125,5.69
547,8.546875,5.9
548,8.5625,5.99
549,8.578125,5.98
550,8.59375,5.92
551,8.609375,5.84
552,8.625,5.8
553,8.640625,5.8
554,8.65625,5.84
555,8.671875,5.86
556,8.6875,5.74
557,8.703125,5.34
558,8.71875,4.55
559,8.734375,3.36
560,8.75,1.93
561,8.765625,0.54
562,8.78125,-0.48
563,8.796875,-0.93
564,8.8125,-0.8
565,8.828125,-0.31
566,8.84375,0.16
567,8.859375,0.28
568,8.875,-0.14
569,8.890625,-1.02
570,8.90625,-2.12
571,8.921875,-3.08
572,8.9375,-3.65
573,8.953125,-3.76
574,8.96875,-3.49
575,8.984375,-3.0
576,9.0,-2.4
577,9.015625,-1.77
578,9.03125,-1.11
579,9.046875,-0.44
